year,average_gold_price,average_monetary_base
1959,35.1,50483.333333333336
1960,35.27,50008.333333333336
1961,35.25,49308.333333333336
1962,35.23,50933.333333333336
1963,35.09,52441.666666666664
1964,35.1,55183.333333333336
1965,35.12,58108.333333333336
1966,35.13,61533.333333333336
1967,34.95,64658.333333333336
1968,39.31,69383.33333333333
1969,41.28,73675.0
1970,36.02,77566.66666666667
1971,40.62,83266.66666666667
1972,58.42,89083.33333333333
1973,97.39,94666.66666666667
1974,154.0,103650.0
1975,160.86,108566.66666666667
1976,124.74,114733.33333333333
1977,147.84,122958.33333333333
1978,193.4,134600.0
1979,306.0,147608.33333333334
1980,615.0,158633.33333333334
1981,460.0,164091.66666666666
1982,376.0,172325.0
1983,424.0,183433.33333333334
1984,361.0,195291.66666666666
1985,317.0,210708.33333333334
1986,368.0,230950.0
1987,447.0,253375.0
1988,437.0,272075.0
1989,381.0,283508.3333333333
1990,383.51,302033.3333333333
1991,362.11,318575.0
1992,343.82,341850.0
1993,359.77,376808.3333333333
1994,384.0,411633.3333333333
1995,383.79,434025.0
1996,387.81,448158.3333333333
1997,331.02,472100.0
1998,294.24,502600.0
1999,278.98,551841.6666666666
2000,279.11,585291.6666666666
2001,271.04,618458.3333333334
2002,309.73,673541.6666666666
2003,363.38,716525.0
2004,409.72,752733.3333333334
2005,444.74,782625.0
2006,603.46,811525.0
2007,695.39,827183.3333333334
2008,871.96,987300.0
2009,972.35,1775475.0
2010,1224.53,2009991.6666666667
2011,1571.52,2517508.3333333335
2012,1668.98,2641116.6666666665
2013,1411.23,3251700.0
2014,1266.4,3926533.3333333335
2015,1160.6,3974441.6666666665
2016,1250.74,3763091.6666666665
